ID,inventorynumber,artist,originaltitle,date,medium,accessionyear,provenance,permalink,permalinkimage,copyright
3599.jpg,761,Robert Zünd (1827–1909),Abendlandschaft mit Schafherde,1889–1891,Oil on canvas,1901,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/3599,https://collection.kunsthaus.ch/multimedia/5/multimedia-798205.extra-large.jpg,
2611.jpg,729,Rudolf Koller (1828–1905),Am Zürichhorn (Studie),1862,Oil on canvas,1898,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/2611,https://collection.kunsthaus.ch/multimedia/4/multimedia-1208224.extra-large.jpg,
3589.jpg,315,Robert Zünd (1827–1909),Schlachtkapelle von Sempach,c. 1866,Oil on canvas,1867,"Robert Zünd (*1827 Luzern, +1909 Luzern) (Künstler/-in) /// ab 1867, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Kauf aus der Schweizerischen Turnus-Ausstellung",https://collection.kunsthaus.ch/de/collection/item/3589,https://collection.kunsthaus.ch/multimedia/6/multimedia-363246.extra-large.jpg,
3829.jpg,12,Ludwig Vogel (1788–1879),Das Innere der Tellskapelle am Vierwaldstättersee,1834,Oil on paper on canvas,1835,"Ludwig Vogel (*1788 Zürich, +1879 Zürich) (Künstler/-in) /// o.D. – 1835, Gottlob Bernhard (Sammler/-in), Stuttgart, Kauf /// ab 1835, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/3829,https://collection.kunsthaus.ch/multimedia/6/multimedia-363236.extra-large.jpg,
3200.jpg,2663,Varlin (1900–1977),Seepromenade in Muralto bei Locarno,1950,Oil on cardboard on hardboard,1994,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/3200,https://collection.kunsthaus.ch/multimedia/4/multimedia-855214.extra-large.jpg,"© P. Guggenheim, 7606 Bondo"
104.jpg,KS 40,School of Anthony van Dyck (1599–1641),Ein Stifter mit zwei Heiligen vor der Madonna,c. 1628,Oil on oak panel,1976,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/104,https://collection.kunsthaus.ch/multimedia/1/multimedia-1114231.extra-large.jpg,
918.jpg,KS 34,Jan van der Heyden (1637–1712),Barockes Palais an einem Platz,c. 1665,Oil on oak panel,1978,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/918,https://collection.kunsthaus.ch/multimedia/4/multimedia-1139224.extra-large.jpg,
2808.jpg,KS 59,Giovanni Antonio Pellegrini (1675–1741),Venere e un Satiro,c. 1720,Oil on canvas,1976,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/2808,https://collection.kunsthaus.ch/multimedia/5/multimedia-931245.extra-large.jpg,
2887.jpg,KS 58,Marco Ricci (1676–1729),Capriccio con rovine romane ,c. 1720,Oil on canvas,1979,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/2887,https://collection.kunsthaus.ch/multimedia/4/multimedia-1119244.extra-large.jpg,
3785.jpg,KS 29,Adriaen van de  Velde (1636–1672) / Jan Wijnants (c. 1632–before 1684),Dünenlandschaft mit Hirten und Taverne,1660,Oil on copper,1978,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/3785,https://collection.kunsthaus.ch/multimedia/7/multimedia-1144207.extra-large.jpg,
2905.jpg,1948/0002,Ernst Morgenthaler (1887–1962),Der Arbeitslose,1939,Oil on canvas,1948,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/2905,https://collection.kunsthaus.ch/multimedia/8/multimedia-480278.extra-large.jpg,"© Nachlass Ernst Morgenthaler, Thun"
1.jpg,1958/0015,Otto Charles Bänninger (1897–1973),Kopf Emil G. Bührle,1956,Plaster,1958,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/1,https://collection.kunsthaus.ch/multimedia/3/multimedia-1214213.extra-large.jpg,Die Nachlassvertretung konnte nicht gefunden werden. Die Rechteinhaber mögen sich melden.
1270.jpg,2608,Max Gubler (1898–1973),Winterlandschaft mit Kloster Fahr,1942,Oil on canvas,1942,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/1270,https://collection.kunsthaus.ch/multimedia/5/multimedia-855225.extra-large.jpg,"© Eduard, Ernst und Max Gubler Stiftung, Zürich"
1295.jpg,1944/0009,Hermann Haller (1880–1950),Impression nach Karl Walser,1943,Terra-cotta,1944,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/1295,https://collection.kunsthaus.ch/multimedia/9/multimedia-998219.extra-large.jpg,
1870.jpg,1141,Ferdinand Hodler (1853–1918),Bildnis Bertha Stucki,c. 1887,Oil on canvas,1917,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/1870,https://collection.kunsthaus.ch/multimedia//multimedia-931240.extra-large.jpg,
1922.jpg,1142,Ferdinand Hodler (1853–1918),Gemmilandschaft mit Schwarenbach,c. 1890,Oil on canvas,1917,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/1922,https://collection.kunsthaus.ch/multimedia/1/multimedia-931251.extra-large.jpg,
2324.jpg,2577,Jakob Ritzmann (1894–1990),Malven,1937,Oil on canvas,1942,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/2324,https://collection.kunsthaus.ch/multimedia/3/multimedia-1451303.extra-large.jpg,Die Nachlassvertretung konnte nicht gefunden werden. Die Rechteinhaber mögen sich melden.
3327.jpg,1448,Albert Welti (1862–1912),Bildnis Franz Rose von Döhlau vor orientalischem Tuch,1897,Tempera on panel,1922,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/3327,https://collection.kunsthaus.ch/multimedia/3/multimedia-1139233.extra-large.jpg,
6670.jpg,1958/0031,Otto Charles Bänninger (1897–1973),Kopf Emil G. Bührle,1956,Limestone,1958,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/6670,https://collection.kunsthaus.ch/multimedia/8/multimedia-793218.extra-large.jpg,Die Nachlassvertretung konnte nicht gefunden werden. Die Rechteinhaber mögen sich melden.
5758.jpg,GS 374,Giovanni Giacometti (1868–1933),Bildnis Alberto Giacometti,c. 1928,Oil on canvas,2006,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/5758,https://collection.kunsthaus.ch/multimedia/9/multimedia-329249.extra-large.jpg,
13795.jpg,Z.1940/0201,Johann Heinrich Füssli (1741–1825),"Dame mit hohem Hut und Mantille, aufgerichtet auf einer Couchette, einen Stab in der Linken",1818,Graphite pencil on paper,1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 o /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13795,https://collection.kunsthaus.ch/multimedia/9/multimedia-417429.extra-large.jpg,
13868.jpg,Z.1934/0009,Johann Heinrich Füssli (1741–1825),"Junge Frau mit Kopfflügeln, um Türrahmen lugend",1800–1810,"Graphite pencil and chalk, grey brown wash on thin paper",1934,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Sammlung Lady Georgina North (Sammlung) /// o.D. – mindestens bis 1900, Lord North of Wroxton Abbey (Sammler/-in) /// Verbleib unbekannt (""Mr. St."") /// 16.11.1933, William S. Kundig, Buch- und Kunsthandlung (Auktion), Zürich, Savoy Hotel /// ab 16.11.1933, Gottfried Keller-Stiftung (Sammlung), Kauf, Inv.-Nr. GKS 794 b /// ab 21.2.1934, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13868,https://collection.kunsthaus.ch/multimedia/4/multimedia-499214.extra-large.jpg,
13956.jpg,Z.1940/0202,Johann Heinrich Füssli (1741–1825),"Frau am Fenster, aufs stürmische Meer blickend",1816,Black chalk on paper cover,1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 p /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13956,https://collection.kunsthaus.ch/multimedia/1/multimedia-671221.extra-large.jpg,
13983.jpg,Z.1940/0188,Johann Heinrich Füssli (1741–1825),"Galinthias überlistet Eileithyia durch die Ankündigung der Geburt Herakles. Ovid, Metamorphosen IX, 279 ff.",c. 1772,"Black pen and brush, grey wash on paper",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 a /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13983,https://collection.kunsthaus.ch/multimedia/2/multimedia-671222.extra-large.jpg,
14099.jpg,Z.1940/0200,Johann Heinrich Füssli (1741–1825),"David stellt sich als wahnsinnig vor König Achis von Gath. 1. Samuel 21, 14",1762–1764,"Brown pen and brush, watercoloured on paper",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 n /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/14099,https://collection.kunsthaus.ch/multimedia//multimedia-671210.extra-large.jpg,
14165.jpg,Z.1940/0198,Johann Heinrich Füssli (1741–1825),Ezzelin und die reuige Meduna,1817,"Chalk over graphite pencil, partially smudged on paper; verso: chalk",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 l /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/14165,https://collection.kunsthaus.ch/multimedia/9/multimedia-671209.extra-large.jpg,
8207.jpg,Z.1940/0194,Johann Heinrich Füssli (1741–1825),Die Erdrosselung des Herzogs Alphons von Aragon,1805–1806,"Graphite pencil, grey wash and watercoloured on paper",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) /// Verbleib unbekannt /// 19.3.1914 – 20.3.1914, C.G. Boerner (Auktion), Leipzig, Lot 229 /// 1914 – 17.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 g /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/8207,https://collection.kunsthaus.ch/multimedia/5/multimedia-687215.extra-large.jpg,
8487.jpg,Z.1940/0196,Johann Heinrich Füssli (1741–1825),"Hamlets Besuch bei Ophelia. Shakespeare, Hamlet II, 1",1810–1815,"Grey brush over graphite pencil, wash and watercoloured on paper; verso: graphite pencil",1940,"Johann Heinrich Füssli (*1745 Zürich, +1832 Zürich) (Künstler/-in) /// Nachlass Johann Heinrich Füssli /// Thomas Lawrence (*1769 Bristol, +1830 London) /// Susan North, Countess of Guilford (*1771, +1837) (Sammler/in) /// Baroness Susan North (*1797, +1884) (Sammler/-in) /// 7.1885, Sotheby's (Auktion), London /// o.D. – 12.3.1913, Arnold Otto Meyer (*1825 Hamburg, +1913 Hamburg) (Sammler/-in), Hamburg /// 12.3.1913 – 19.3.1914, Eduard Lorenz Lorenz-Meyer (*1856 Singapur, +1926 Hamburg) (Sammler/-in), Erbe /// 19.3.1914 – 20.3.1914, C.G. Boerner (Auktion), Leipzig, Lot 245 /// [Verbleib unbekannt?], Kauf /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf,  Inv.-Nr. GKS 893 i /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich , Leihgabe",https://collection.kunsthaus.ch/de/collection/item/8487,https://collection.kunsthaus.ch/multimedia/7/multimedia-671217.extra-large.jpg,
8654.jpg,Z.1940/0192,Johann Heinrich Füssli (1741–1825),"Kriemhild, von zwei hunnischen Dienern begleitet, zeigt Hagen im Gefängnis den Nibelungenring",1807,"Black and grey brush and pen, brown and grey wash and watercoloured on paper; verso: graphite pencil",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Nachlass Johann Heinrich Füssli, Nachlass /// Thomas Lawrence (*1769 Bristol, +1830 London) /// Susan North, Countess of Guilford (*1771, +1837) (Sammler/in) /// Baroness Susan North (*1797, +1884) (Sammler/-in) /// 7.1885, Sotheby's (Auktion), London /// o.D. – 12.3.1913, Arnold Otto Meyer (*1825 Hamburg, +1913 Hamburg) (Sammler/-in), Hamburg /// 12.3.1913 – 19.3.1914, Eduard Lorenz Lorenz-Meyer (*1856 Singapur, +1926 Hamburg), Erbe /// 19.3.1914 – 20.3.1914, C.G. Boerner (Auktion), Leipzig, Lot 245 /// [Verbleib unbekannt?], Kauf /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 e /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/8654,https://collection.kunsthaus.ch/multimedia//multimedia-694260.extra-large.jpg,
8718.jpg,Z.1940/0190,Johann Heinrich Füssli (1741–1825),Samuel erscheint Saul bei der Hexe von Endor. 1. Samuel 28,1777,"Graphite pencil and pen in brown, wash and watercolour in yellow, grey, blue, red and white on paper",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Nachlass Johann Heinrich Füssli, Nachlass /// Thomas Lawrence (*1769 Bristol, +1830 London) /// Susan North, Countess of Guilford (*1771, +1837) (Sammler/in) /// Baroness Susan North (*1797, +1884) (Sammler/-in) /// 7.1885, Sotheby's (Auktion), London /// o.D. – 12.3.1913, Arnold Otto Meyer (*1825 Hamburg, +1913 Hamburg) (Sammler/-in), Hamburg /// 12.3.1913 – 19.3.1914, Eduard Lorenz Lorenz-Meyer (*1856 Singapur, +1926 Hamburg), Erbe /// 19.3.1914 – 20.3.1914, C.G. Boerner (Auktion), Leipzig, Lot 245 /// [Verbleib unbekannt?], Kauf /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 c /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/8718,https://collection.kunsthaus.ch/multimedia/8/multimedia-671218.extra-large.jpg,
8938.jpg,Z.1940/0193,Johann Heinrich Füssli (1741–1825),"Kriemhild zeigt Hagen das Haupt Gunthers. Nibelungenlied XXXVIII, 2440",1805,"Grey pen and brush over graphite pencil, grey and black wash on paper",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Nachlass Johann Heinrich Füssli (Künstler/-in) /// Thomas Lawrence (*1769 Bristol, +1830 London) /// Susan North, Countess of Guilford (*1771, +1837) (Sammler/in) /// Baroness Susan North (*1797, +1884) (Sammler/-in) /// 7.1885, Sotheby's (Auktion), London /// o.D. – 12.3.1913, Arnold Otto Meyer (*1825 Hamburg, +1913 Hamburg) (Sammler/-in), Hamburg /// 12.3.1913 – 19.3.1914, Eduard Lorenz Lorenz-Meyer (*1856 Singapur, +1926 Hamburg), Erbe /// 19.3.1914 – 20.3.1914, C.G. Boerner (Auktion), Leipzig, Lot 245 /// [Verbleib unbekannt?], Kauf /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, INv.-Nr. GKS 893 f /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/8938,https://collection.kunsthaus.ch/multimedia/5/multimedia-694235.extra-large.jpg,
11775.jpg,Z.1934/0004,Johann Heinrich Füssli (1741–1825),"Pasiphae, von Liebe zum Stier erfasst, ihm Kräuter suchend. Vergil, 6. Ecloge",c. 1805–1810,"Graphite pencil and chalk, brown and grey wash on paper",1934,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Sammlung Lady Georgina North (Sammlung) /// o.D. – mindestens bis 1900, Lord North of Wroxton Abbey (Sammler/-in) /// Verbleib unbekannt (""Mr. St."") /// 16.11.1933, William S. Kundig, Buch- und Kunsthandlung (Auktion), Hotel Savoy, Zürich, Lot 201 /// ab 16.11.1933, Gottfried Keller-Stiftung (Sammlung), Kauf, Inv.-Nr. 788 /// ab 21.2.1934, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/11775,https://collection.kunsthaus.ch/multimedia/4/multimedia-671224.extra-large.jpg,
12255.jpg,Z.1940/0195,Johann Heinrich Füssli (1741–1825),"Szene aus den Bacchanalien. Livius, XXXIX, 8",1812,"Graphite pencil, chalk and pen in black, grey and black watercolour on white paper; verso: black chalk",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/12255,https://collection.kunsthaus.ch/multimedia/6/multimedia-671216.extra-large.jpg,
13232.jpg,Z.1934/0005,Johann Heinrich Füssli (1741–1825),Siegfried und Kriemhild als Liebespaar,1818 (?),Graphite pencil on paper,1934,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Sammlung Lady Georgina North (Sammlung) /// o.D. – mindestens bis 1900, Lord North of Wroxton Abbey (Sammler/-in) /// Verbleib unbekannt (""Mr. St."") /// 16.11.1933, William S. Kundig, Buch- und Kunsthandlung (Kunsthandel), Hotel Savoy, Zürich, Lot 206 /// ab 16.11.1933, Gottfried Keller-Stiftung (Sammlung), Kauf, Inv.-Nr. GKS 791 /// ab 21.2.1934, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13232,https://collection.kunsthaus.ch/multimedia//multimedia-671220.extra-large.jpg,
13305.jpg,Z.1934/0008,Johann Heinrich Füssli (1741–1825),"Schöne junge Frau mit Kopfflügeln, kleine Frauengestalt über der Schulter",1800–1810,"Graphite pencil, pen and sepia, brown and grey watercolour on paper",1934,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Sammlung Lady Georgina North (Sammlung) /// o.D. – mindestens bis 1900, Lord North of Wroxton Abbey (Sammler/-in) /// Verbleib unbekannt (""Mr. St."") /// 16.11.1933, William S. Kundig, Buch- und Kunsthandlung (Auktion), Hotel Savoy, Zürich, Lot 227 /// ab 16.11.1933, Gottfried Keller-Stiftung (Sammlung), Kauf, Inv.-Nr. GKS 794 a /// ab 21.2.1934, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13305,https://collection.kunsthaus.ch/multimedia/4/multimedia-499244.extra-large.jpg,
13383.jpg,Z.1940/0191,Johann Heinrich Füssli (1741–1825),Ungedeutete Szene: Bischof mit Flammenkelch am Lager einer/eines Sterbenden,c. 1810,"Black pen over graphite pencil, grey, black, red, yellow, brown and white wash and watercoloured on paper",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 d /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13383,https://collection.kunsthaus.ch/multimedia/8/multimedia-671208.extra-large.jpg,
13415.jpg,Z.1940/0189,Johann Heinrich Füssli (1741–1825),"Der rasende Aias, zu seinem Sohn Eurysakes gewandt. Sophokles, Aias, 545 ff.",1770–1772,"Brown pen and brush, partially over graphite pencil, brown and red wash, watercoloured, framing lines with grey pen and brush; verso: brown pen and brush",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 b /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13415,https://collection.kunsthaus.ch/multimedia/4/multimedia-671214.extra-large.jpg,
13465.jpg,Z.1940/0197,Johann Heinrich Füssli (1741–1825),"Sitzende nackte Frau, im Begriff, sich den rechten Fuss abzutrocknen",c. 1800–1805,"Blue, brown, grey, red and black brush over graphite pencil on paper; verso: black pen over graphite pencil, watercoloured",1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// wohl spätestens ab 1926 – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 k /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13465,https://collection.kunsthaus.ch/multimedia/5/multimedia-671215.extra-large.jpg,
13519.jpg,Z.1934/0007,Johann Heinrich Füssli (1741–1825),Frauenkopf in Flügelhaube,c. 1810–1815,"Graphite pencil and chalk, partially smudged on paper",1934,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Sammlung Lady Georgina North (Sammlung) /// o.D. – mindestens bis 1900, Lord North of Wroxton Abbey (Sammler/-in) /// Verbleib unbekannt (""Mr. St."") /// 16.11.1933, William S. Kundig, Buch- und Kunsthandlung (Auktion), Hotel Savoy, Zürich, Lot 218 /// ab 16.11.1933, Gottfried Keller-Stiftung (Sammlung), Kauf, Inv.-Nr. GKS 793 /// ab 21.2.1934, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13519,https://collection.kunsthaus.ch/multimedia/9/multimedia-671219.extra-large.jpg,
13540.jpg,Z.1940/0199,Johann Heinrich Füssli (1741–1825),Frau am Spinett,undated,Graphite pencil on paper,1940,"Johann Heinrich Füssli (*1741 Zürich, +1825 Putney Hill/London) (Künstler/-in) /// Verbleib unbekannt /// o.D. – 16.5.1940, Paul Hürlimann (*1878 Fluntern, +1944 Zürich) (Sammler/-in) /// ab 16.5.1940, Gottfried Keller-Stiftung (Sammlung), Bern, Kauf, Inv.-Nr. GKS 893 m /// ab 16.5.1940, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/13540,https://collection.kunsthaus.ch/multimedia/1/multimedia-671211.extra-large.jpg,
269.jpg,585,"attributed to Giovanni Battista Trotti, genannt II Malosso (1556–1619)",Ritratto di Cattolica Barbò Anguissola,c. 1590,Oil on canvas,1894,"Giovanni Battista Trotti, genannt II Malosso (*1556 Cremona, +1619 Parma) (Künstler/-in) /// Verbleib unbekannt /// wohl, Christian Adam Fries (*1765, +1847 Heidelberg) (Sammler/-in), Heidelberg /// Verbleib unbekannt /// 1873 – 1893, Emil Rothpletz (*1824 Aarau, +1897 Zürich) (Sammler/-in), Aarau/Zürich /// 1893, Gottfried Keller-Stiftung (Sammlung), Bundesamt für Kultur, Bern, Kauf /// ab 1894, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/269,https://collection.kunsthaus.ch/multimedia/4/multimedia-1114234.extra-large.jpg,
431.jpg,1196,Arnold Böcklin (1827–1901),Bildnis Gottfried Keller,1889 (unfinished),Tempera on panel,1918,"Arnold Böcklin (*1827 Basel, +1901 San Domenico bei Fiesole) (Künstler/-in) /// 1901 – 1916, Nachlass Arnold Böcklin, Florenz, Nachlass /// 1902, Galerie M. Goldschmidt & Co. (Sammler/-in) /// 1912, Galerie Fritz Gurlitt (Kunsthandel), Berlin /// 1916, Galerie Neupert (Galerie), Zürich /// 1916, Gottfried Keller-Stiftung (Sammlung), Bundesamt für Kultur, Bern, Kauf, Nr. 419 /// ab 1918, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/431,https://collection.kunsthaus.ch/multimedia/6/multimedia-320806.extra-large.jpg,
434.jpg,1956/0025,Frank Buchser (1828–1890),Bildnis eines Freimaurers. Alderman W. Bean,1854,Oil on canvas,1956,NO PUBLIC PROVENANCE,https://collection.kunsthaus.ch/de/collection/item/434,https://collection.kunsthaus.ch/multimedia//multimedia-694240.extra-large.jpg,
